row,pos_error_mm,dir_error_deg
0,7.786283,0.010797
1,8.431027,0.006961
2,8.552249,0.008537
3,8.101763,0.013923
4,7.169093,0.018377
5,13.943127,0.051222
6,8.020304,0.016635
7,8.683363,0.014660
8,8.809447,0.015509
9,8.338806,0.018747
10,7.361870,0.021971
11,14.055498,0.056110
12,7.656229,0.022458
13,8.314331,0.022053
14,8.430144,0.022714
15,7.988605,0.024213
16,7.081311,0.025640
17,13.826119,0.062956
18,14.795145,0.059981
19,7.404852,0.027153
20,7.521185,0.027740
21,7.161825,0.028252
22,14.315038,0.066106
23,13.260635,0.069841
24,13.688880,0.070607
25,14.151168,0.070198
26,14.250249,0.070449
27,13.918816,0.072017
28,13.284490,0.073900
29,12.463233,0.075808
30,12.473765,0.079309
31,12.840314,0.078591
32,12.932425,0.078493
33,12.691619,0.079169
34,12.218789,0.079981
35,11.585012,0.080527
36,9.195736,0.012584
37,9.325662,0.005914
38,9.362967,0.006826
39,9.287222,0.014158
40,9.110052,0.022159
41,8.886769,0.030208
42,9.240120,0.018124
43,9.379336,0.013996
44,9.407420,0.014524
45,9.326672,0.019062
46,9.152788,0.025661
47,8.918883,0.032727
48,9.180812,0.025735
49,9.312397,0.022747
50,9.335717,0.023117
51,9.253647,0.026241
52,9.092575,0.031105
53,8.875518,0.037157
54,9.023546,0.034304
55,9.142616,0.031764
56,9.162741,0.031905
57,9.094270,0.033904
58,8.952928,0.037976
59,7.957613,0.038864
60,8.508997,0.041381
61,8.914230,0.041092
62,8.938501,0.040574
63,8.884339,0.042275
64,8.041521,0.041308
65,14.581032,0.085026
66,14.458172,0.090949
67,7.229292,0.041610
68,7.403554,0.041866
69,14.962285,0.089720
70,14.201985,0.088758
71,13.196283,0.086619
72,9.951230,0.013663
73,10.217330,0.005423
74,10.267799,0.005695
75,10.131272,0.014257
76,9.819793,0.022990
77,9.415431,0.031153
78,10.027236,0.019147
79,10.302745,0.014096
80,10.349306,0.014197
81,10.206453,0.019268
82,9.905969,0.026615
83,9.487615,0.033674
84,9.908388,0.027244
85,10.153590,0.024089
86,10.213079,0.024010
87,10.081382,0.027259
88,9.789659,0.032277
89,9.409095,0.038025
90,9.644769,0.035983
91,9.852186,0.033372
92,9.895515,0.033597
93,9.793843,0.035733
94,9.550641,0.039126
95,9.223492,0.043065
96,9.292516,0.044465
97,9.467959,0.042373
98,9.499394,0.042876
99,9.435674,0.043226
100,9.247459,0.045530
101,8.988153,0.048271
102,8.943945,0.052093
103,9.067832,0.050448
104,9.101639,0.050088
105,9.057377,0.050005
106,8.931696,0.050935
107,7.958498,0.047192
108,11.231976,0.017462
109,11.717961,0.006687
110,11.830167,0.005029
111,11.576099,0.016940
112,11.047469,0.027037
113,10.349036,0.034217
114,11.413563,0.023062
115,11.836488,0.016393
116,11.849758,0.015842
117,11.607895,0.023165
118,11.152894,0.031256
119,10.471824,0.036940
120,11.130947,0.032349
121,11.484910,0.029606
122,11.493881,0.029215
123,11.305121,0.033105
124,10.929709,0.037671
125,10.342340,0.040956
126,10.669814,0.040947
127,10.959604,0.040328
128,10.992775,0.040865
129,10.830291,0.042717
130,10.536844,0.043686
131,10.047711,0.044769
132,10.099396,0.047818
133,10.395093,0.046946
134,10.467884,0.047267
135,10.365898,0.046960
136,10.059582,0.047876
137,9.641859,0.047872
138,9.513218,0.052014
139,9.763546,0.050567
140,9.834143,0.050095
141,9.731644,0.050188
142,9.503607,0.050234
143,9.221204,0.048825
144,12.987499,0.028314
145,13.371373,0.014180
146,13.300626,0.010547
147,13.032360,0.029770
148,12.629074,0.040307
149,11.957135,0.041399
150,13.029177,0.036761
151,13.064263,0.028526
152,12.790276,0.027540
153,12.497304,0.042452
154,12.484617,0.047601
155,12.154470,0.045026
156,12.635869,0.050938
157,12.385686,0.054236
158,11.936828,0.057861
159,11.874981,0.061720
160,12.147403,0.056928
161,12.011641,0.048678
162,11.983690,0.060017
163,12.029149,0.064870
164,11.783913,0.069068
165,11.648072,0.070851
166,11.818211,0.062363
167,11.604556,0.051752
168,11.433027,0.058857
169,11.883728,0.060468
170,11.902947,0.061032
171,11.676050,0.062319
172,11.350408,0.061673
173,10.880372,0.053611
174,10.626890,0.052936
175,11.202554,0.052089
176,11.375754,0.051451
177,11.177007,0.051625
178,10.709274,0.051723
179,10.175491,0.048368
180,7.541354,0.394099
181,2.120262,0.208121
182,1.233561,0.164280
183,3.056459,0.333873
184,5.504827,0.476394
185,11.050712,0.384721
186,7.174963,0.424424
187,3.213108,0.248493
188,3.698979,0.147829
189,4.058990,0.349906
190,4.992226,0.536505
191,10.410916,0.275080
192,6.973461,0.537994
193,4.055260,0.444290
194,3.740740,0.421737
195,2.623710,0.520353
196,4.458241,0.591957
197,10.191489,0.465555
198,7.489503,0.601202
199,4.992778,0.571868
200,4.095657,0.570124
201,2.969164,0.614803
202,5.107490,0.168911
203,9.982610,2.163708
204,9.495327,0.584388
205,9.152117,0.208789
206,8.332734,0.261147
207,7.122381,0.156732
208,6.568460,0.155128
209,8.819699,0.462819
210,14.429883,2.228448
211,13.907641,2.161001
212,12.979863,3.079470
213,12.149615,3.422708
214,11.693983,0.514980
215,9.776275,0.468853
216,14.981070,0.033477
217,7.597415,0.014078
218,7.748622,0.014760
219,7.339497,0.017339
220,14.457229,0.046385
221,13.433457,0.054200
222,7.622734,0.011235
223,8.270106,0.007848
224,8.417863,0.009315
225,7.987093,0.014118
226,7.094296,0.018475
227,13.870792,0.050972
228,7.724500,0.008510
229,8.387288,0.001905
230,8.514117,0.005505
231,8.089298,0.012406
232,7.201967,0.017621
233,13.954137,0.049729
234,7.334222,0.010077
235,7.957931,0.006925
236,8.081877,0.008745
237,7.653687,0.013669
238,14.773815,0.041178
239,13.656284,0.050974
240,14.480398,0.030762
241,7.059412,0.012377
242,7.164588,0.013637
243,14.749782,0.037075
244,14.013933,0.045750
245,13.049198,0.053795
246,13.424571,0.040084
247,13.842669,0.038805
248,13.911535,0.040721
249,13.611025,0.045265
250,13.028066,0.051359
251,12.234025,0.057298
252,9.052619,0.020298
253,9.172892,0.017250
254,9.196540,0.017446
255,9.132168,0.021121
256,8.985411,0.026822
257,8.095652,0.031063
258,9.163822,0.014411
259,9.296881,0.009136
260,9.325417,0.009774
261,9.253590,0.015576
262,9.086918,0.022977
263,8.873700,0.030773
264,9.180587,0.011220
265,9.316804,0.003162
266,9.341217,0.005161
267,9.271504,0.013428
268,9.108823,0.021759
269,8.892898,0.029821
270,9.109380,0.013532
271,9.231616,0.008478
272,9.257521,0.009678
273,9.181115,0.016036
274,9.035143,0.023375
275,8.499842,0.029979
276,8.956278,0.019327
277,9.061271,0.016449
278,9.081791,0.017318
279,9.023793,0.021474
280,8.895135,0.027371
281,7.475651,0.029150
282,7.866165,0.023704
283,8.644183,0.023900
284,8.761807,0.025070
285,8.321109,0.026724
286,7.380740,0.027846
287,14.117111,0.065510
288,9.688365,0.022944
289,9.915990,0.019436
290,9.982876,0.019087
291,9.870730,0.022683
292,9.610849,0.028376
293,9.258472,0.034847
294,9.890608,0.016680
295,10.144407,0.010566
296,10.200520,0.010513
297,10.076519,0.016674
298,9.789196,0.024345
299,9.406403,0.032082
300,9.909571,0.013557
301,10.156701,0.004452
302,10.208136,0.005049
303,10.087258,0.014490
304,9.804876,0.023233
305,9.426599,0.031283
306,9.769970,0.015905
307,9.986757,0.010224
308,10.034204,0.010778
309,9.929306,0.017284
310,9.663897,0.024825
311,9.320084,0.032409
312,9.493222,0.021760
313,9.683095,0.018601
314,9.722724,0.019206
315,9.631448,0.023116
316,9.410744,0.028856
317,9.127948,0.035093
318,9.152971,0.028786
319,9.303551,0.026824
320,9.336136,0.027367
321,9.260225,0.030183
322,9.101017,0.034200
323,8.886966,0.038924
324,10.791273,0.027472
325,11.224860,0.023677
326,11.351547,0.023272
327,11.140410,0.026900
328,10.689972,0.032383
329,10.060799,0.037406
330,11.132085,0.021027
331,11.555493,0.013687
332,11.633351,0.012820
333,11.421321,0.020234
334,10.965802,0.028900
335,10.316848,0.035448
336,11.128912,0.017642
337,11.488348,0.006786
338,11.545746,0.005570
339,11.357735,0.017450
340,10.952715,0.027614
341,10.339426,0.034701
342,10.848212,0.020107
343,11.168723,0.013562
344,11.232127,0.013802
345,11.051139,0.021167
346,10.695399,0.029192
347,10.146578,0.035373
348,10.370430,0.026004
349,10.664996,0.023158
350,10.732245,0.023695
351,10.597117,0.027390
352,10.275051,0.032548
353,9.806558,0.037018
354,9.769960,0.032721
355,10.026049,0.031154
356,10.081835,0.031535
357,9.983349,0.033484
358,9.729269,0.036539
359,9.381074,0.039415
360,12.551511,0.038442
361,13.148732,0.035586
362,13.290543,0.035455
363,13.081050,0.039307
364,12.504411,0.042909
365,11.569495,0.043255
366,12.909796,0.032702
367,13.223084,0.024378
368,13.112571,0.022908
369,12.901828,0.033910
370,12.573638,0.041689
371,11.933082,0.042830
372,12.791386,0.029248
373,12.707615,0.013874
374,12.438810,0.009458
375,12.318332,0.031188
376,12.343799,0.040853
377,11.881528,0.041896
378,12.204534,0.032579
379,12.212930,0.024903
380,11.964810,0.025572
381,11.964554,0.035801
382,11.953382,0.041793
383,11.560680,0.041604
384,11.546119,0.037081
385,11.736446,0.035634
386,11.707576,0.036823
387,11.607843,0.040812
388,11.420264,0.043129
389,11.004867,0.041612
390,10.682424,0.039855
391,11.036338,0.039045
392,11.155951,0.039332
393,11.034075,0.040583
394,10.720292,0.041823
395,10.273044,0.040751
396,14.616600,0.927784
397,12.906825,1.175319
398,12.990945,1.155323
399,12.702202,1.339395
400,13.304320,1.352088
401,14.103510,0.098721
402,11.247954,1.146585
403,5.585351,0.297446
404,4.461761,0.263688
405,5.383603,0.362651
406,9.232043,0.464408
407,14.233375,0.104976
408,9.476378,0.374854
409,1.962305,0.181130
410,1.135797,0.059772
411,2.854164,0.291774
412,7.782845,0.490728
413,14.178135,0.102299
414,8.291388,0.413062
415,1.411645,0.265300
416,0.981013,0.231538
417,2.443435,0.377499
418,7.586151,0.511726
419,14.965267,0.990049
420,8.531432,0.496394
421,5.642353,0.421856
422,4.369543,0.422449
423,4.115705,0.389710
424,7.230415,0.399275
425,13.692124,0.524776
426,11.681987,0.073008
427,12.483668,0.077347
428,12.692833,0.079358
429,13.751708,0.536368
430,11.462729,0.538399
431,13.126123,0.470272
432,7.051755,0.028493
433,7.760328,0.029107
434,7.853541,0.029453
435,7.455007,0.029699
436,14.551957,0.066791
437,13.403310,0.070257
438,14.740508,0.078864
439,7.388255,0.036629
440,7.551081,0.036848
441,7.187263,0.036225
442,14.280768,0.080831
443,13.207073,0.081927
444,14.027187,0.093360
445,14.558779,0.093672
446,14.680030,0.093604
447,14.326696,0.093685
448,13.650426,0.092624
449,12.686217,0.092321
450,13.109045,0.103983
451,13.573935,0.104095
452,13.627345,0.104500
453,13.378212,0.103547
454,12.787966,0.101924
455,12.004542,0.100162
456,12.215119,0.108498
457,12.579769,0.109006
458,12.670334,0.108488
459,12.441051,0.107347
460,11.955955,0.105452
461,0.000000,0.000000
462,11.496053,0.105897
463,11.760107,0.106245
464,11.817819,0.105626
465,11.631898,0.104147
466,0.000000,0.000000
467,0.000000,0.000000
468,9.096746,0.032122
469,9.233584,0.029850
470,9.266388,0.029605
471,9.192551,0.031644
472,9.029032,0.035266
473,8.350349,0.038561
474,9.041313,0.042559
475,9.179531,0.040294
476,9.204875,0.040187
477,9.136666,0.041530
478,8.976259,0.044671
479,8.053949,0.044610
480,8.906373,0.053385
481,9.025300,0.051507
482,9.053482,0.050973
483,8.988161,0.051991
484,8.849736,0.054245
485,7.278398,0.047809
486,8.043982,0.057705
487,8.833921,0.061348
488,8.849831,0.061090
489,8.564838,0.059722
490,7.498424,0.054595
491,14.079412,0.110250
492,14.518318,0.118478
493,7.261501,0.056866
494,7.442816,0.057580
495,14.943376,0.118733
496,14.120685,0.114598
497,13.064542,0.108747
498,13.411348,0.108990
499,13.934207,0.110713
500,14.042428,0.110106
501,13.756624,0.107907
502,13.141846,0.104038
503,12.336598,0.098267
504,9.857237,0.030695
505,10.124682,0.028020
506,10.199608,0.027791
507,10.059376,0.030150
508,9.762248,0.033966
509,9.347026,0.039487
510,9.772338,0.042031
511,10.012818,0.040276
512,10.067464,0.040329
513,9.944359,0.041731
514,9.665475,0.044032
515,9.290002,0.047511
516,9.526751,0.053338
517,9.737075,0.052131
518,9.793218,0.051974
519,9.678608,0.052694
520,9.437805,0.054114
521,9.121460,0.056267
522,9.246936,0.062129
523,9.429957,0.060891
524,9.467780,0.060687
525,9.379579,0.061161
526,9.176416,0.062144
527,8.932038,0.062633
528,9.007681,0.065309
529,9.147721,0.064223
530,9.185367,0.063775
531,9.112328,0.063920
532,8.948355,0.064423
533,8.106944,0.059473
534,8.827340,0.061276
535,8.934709,0.060467
536,8.967010,0.059707
537,8.916794,0.059161
538,8.513064,0.057056
539,14.906806,0.103169
540,11.242873,0.031905
541,11.726770,0.029211
542,11.860703,0.028977
543,11.625231,0.031889
544,11.082582,0.036375
545,10.316719,0.040649
546,11.066037,0.046086
547,11.477773,0.045551
548,11.546478,0.045968
549,11.323620,0.047275
550,10.884261,0.048465
551,10.217444,0.049428
552,10.627899,0.058618
553,10.955897,0.059193
554,10.991547,0.059985
555,10.811394,0.060402
556,10.437931,0.059877
557,9.916498,0.058072
558,10.167034,0.065325
559,10.496020,0.065463
560,10.544893,0.065861
561,10.388444,0.066038
562,10.049234,0.065470
563,9.592737,0.063288
564,9.795631,0.063213
565,10.113186,0.062794
566,10.187588,0.062538
567,10.047144,0.062727
568,9.714808,0.062918
569,9.326008,0.061417
570,9.496954,0.053847
571,9.741986,0.053173
572,9.830267,0.052554
573,9.726714,0.052209
574,9.470240,0.051772
575,9.145982,0.050837
576,13.455958,0.043024
577,14.010292,0.040380
578,14.135308,0.039755
579,13.698485,0.045624
580,13.029020,0.049817
581,12.035157,0.047802
582,12.996648,0.065593
583,13.576943,0.075007
584,13.316680,0.077096
585,12.944666,0.079559
586,12.547935,0.072345
587,11.918015,0.059610
588,12.361039,0.088153
589,12.666238,0.100958
590,12.395984,0.106642
591,12.165756,0.106793
592,11.974015,0.091090
593,11.476144,0.070653
594,11.882447,0.087986
595,12.367094,0.094766
596,12.316201,0.099614
597,12.126190,0.100083
598,11.632179,0.094825
599,10.926969,0.078947
600,11.480731,0.073570
601,12.194235,0.075539
602,12.358869,0.076118
603,12.094604,0.078320
604,11.392150,0.080240
605,10.446477,0.076476
606,10.906678,0.050531
607,11.504720,0.051327
608,11.734141,0.051408
609,11.550287,0.052190
610,10.928306,0.053065
611,10.109706,0.052992
612,8.619811,3.111772
613,8.237451,1.378039
614,7.829569,0.602800
615,7.778468,2.492546
616,7.359335,2.401448
617,13.000713,0.535777
618,7.097021,4.432423
619,6.661936,3.450129
620,6.542947,3.262665
621,6.270147,2.202502
622,7.180540,1.271846
623,11.960163,0.504695
624,9.178763,0.360900
625,7.277694,1.963042
626,6.410921,2.043196
627,5.896283,0.307205
628,7.170213,0.348021
629,11.078879,1.677115
630,9.802310,0.429247
631,8.856714,0.423755
632,8.256502,0.487455
633,7.625909,0.500445
634,7.591471,0.519934
635,9.238645,0.613604
636,10.911454,3.318970
637,9.866475,3.198693
638,9.336419,2.989572
639,8.489635,3.180917
640,9.457854,2.324551
641,8.495400,0.605081
642,12.236888,0.075526
643,12.209043,0.674716
644,11.022126,0.720743
645,11.186873,0.853949
646,13.620577,1.326607
647,11.118461,0.101234
